epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.8521,1.18706,0.51282,1,1.02144,0.00010003,0.00010003,0.00010003
2,37.6741,0.9059,1,1,0.56702,0.000205862,0.000205862,0.000205862
3,50.9897,0.60401,1,1,0.35661,0.000302639,0.000302639,0.000302639
4,64.3489,0.3934,1,1,0.14635,0.000390363,0.000390363,0.000390363
5,77.5569,0.22819,1,1,0.03256,0.000469032,0.000469032,0.000469032
6,90.8471,0.11183,1,1,0.00682,0.000538647,0.000538647,0.000538647
7,104.087,0.12278,1,1,0.00302,0.000599208,0.000599208,0.000599208
8,117.115,0.07767,1,1,0.00182,0.000650715,0.000650715,0.000650715
9,130.344,0.03937,1,1,0.00127,0.000693168,0.000693168,0.000693168
10,143.478,0.02679,1,1,0.00094,0.000726566,0.000726566,0.000726566
11,156.646,0.02043,1,1,0.00052,0.000750911,0.000750911,0.000750911
12,169.764,0.01998,1,1,0.00074,0.000766201,0.000766201,0.000766201
13,183.945,0.00359,1,1,0.00072,0.000749939,0.000749939,0.000749939
14,197.359,0.05408,1,1,0.00074,0.000693351,0.000693351,0.000693351
15,210.787,0.0028,1,1,0.00113,0.000636762,0.000636762,0.000636762
16,224.325,0.0266,1,1,0.00106,0.000580174,0.000580174,0.000580174
17,237.687,0.01131,1,1,0.00167,0.000523586,0.000523586,0.000523586
18,250.785,0.0088,1,1,0.0024,0.000466997,0.000466997,0.000466997
19,263.624,0.0205,1,1,0.00091,0.000410409,0.000410409,0.000410409
20,276.593,0.01333,1,1,0.00077,0.00035382,0.00035382,0.00035382
21,289.522,0.00937,1,1,0.00071,0.000297232,0.000297232,0.000297232
22,302.323,0.00411,1,1,0.0007,0.000240644,0.000240644,0.000240644
23,315.24,0.01239,1,1,0.00087,0.000184055,0.000184055,0.000184055
24,328.173,0.00732,1,1,0.00108,0.000127467,0.000127467,0.000127467
25,341.096,0.02403,1,1,0.00093,7.08784e-05,7.08784e-05,7.08784e-05
